Name,Latitude,Longitude,City,Country,Population
New York,40.7128,-74.0060,New York City,USA,8336817
London,51.5074,-0.1278,London,UK,9648110
Tokyo,35.6762,139.6503,Tokyo,Japan,37400068
Paris,48.8566,2.3522,Paris,France,2161000
Sydney,-33.8688,151.2093,Sydney,Australia,5312163
Toronto,43.6532,-79.3832,Toronto,Canada,2930000
Berlin,52.5200,13.4050,Berlin,Germany,3669491
Mumbai,19.0760,72.8777,Mumbai,India,20411274
São Paulo,-23.5505,-46.6333,São Paulo,Brazil,12325232
Cairo,30.0444,31.2357,Cairo,Egypt,10230350
Lagos,6.5244,3.3792,Lagos,Nigeria,14862000
Mexico City,19.4326,-99.1332,Mexico City,Mexico,9209944
Moscow,55.7558,37.6176,Moscow,Russia,12615279
Shanghai,31.2304,121.4737,Shanghai,China,28516904
Los Angeles,34.0522,-118.2437,Los Angeles,USA,3898747
